27b - Taxa de letalidade de dengue 
Tx Letalidade Dengue por Município e Ano
Período:2012-2016
"Município";"2012";"2013";"2014";"2015";"2016";"Total"
"351940 Ibirá";3,85;0,00;0,00;0,00;0,00;0,12
"351950 Ibirarema";...;0,00;0,00;0,00;0,00;0,00
"351960 Ibitinga";0,00;0,00;0,00;0,00;0,10;0,05
"351970 Ibiúna";...;0,00;0,00;0,00;0,00;0,00
"351980 Icém";0,00;0,00;0,00;0,00;0,00;0,00
"351990 Iepê";...;0,00;0,00;0,00;0,00;0,00
"352000 Igaraçu do Tietê";...;0,00;0,00;0,00;0,00;0,00
"352010 Igarapava";0,00;0,00;0,00;0,00;4,35;0,36
"352020 Igaratá";...;0,00;0,00;0,00;0,00;0,00
"352030 Iguape";0,00;0,00;0,00;0,46;0,00;0,14
"352042 Ilha Comprida";0,00;0,00;0,00;0,00;0,00;0,00
"352044 Ilha Solteira";0,00;0,00;0,00;0,00;0,00;0,00
"352040 Ilhabela";0,00;0,00;0,03;0,11;0,00;0,04
"352050 Indaiatuba";0,00;0,00;0,38;0,05;0,00;0,06
"352060 Indiana";0,00;0,00;...;0,00;0,00;0,00
"352070 Indiaporã";0,00;0,00;0,00;0,00;0,00;0,00
"352080 Inúbia Paulista";...;0,00;...;0,00;0,00;0,00
"352090 Ipaussu";...;0,00;0,00;0,00;0,00;0,00
"352100 Iperó";0,00;0,00;0,00;0,00;0,00;0,00
"352110 Ipeúna";...;50,00;0,00;0,00;0,00;0,50
"352115 Ipiguá";0,00;0,00;0,00;0,00;0,00;0,00
"352120 Iporanga";...;0,00;...;...;...;0,00
"352130 Ipuã";0,00;0,00;0,00;0,00;0,00;0,00
"352140 Iracemápolis";0,00;0,00;0,00;0,00;0,00;0,00
"352150 Irapuã";0,00;0,00;0,00;0,00;0,00;0,00
"352160 Irapuru";...;0,00;0,00;0,00;0,00;0,00
"352170 Itaberá";...;...;...;0,00;0,00;0,00
"352180 Itaí";...;0,00;...;0,00;...;0,00
"352190 Itajobi";0,00;0,00;0,00;0,00;0,00;0,00
"352200 Itaju";...;0,00;0,00;0,00;0,00;0,00
"352210 Itanhaém";0,00;0,55;0,00;0,06;0,00;0,08
